objectId,parent_candid,jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion
ZTF18abxqnxa,1035252805615015009,2458776.7071875,2,1022207185615,19.8495,/ztf/archive/sci/2019/1020/206725/ztf_20191020206725_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1022.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0295,1.91061e-05,0.0317577,0.104396,2.70526e-05,t17_f5_c3
ZTF18abxqnxa,1052230865615015005,2458806.6721875,1,1052172185615,19.3879,/ztf/archive/sci/2019/1119/171991/ztf_20191119171991_000295_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1052.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4383,7.36501e-05,0.0571107,-0.0368709,0.000136291,t17_f5_c3
ZTF18acbwasc,696494100815015005,2458440.991713,1,686491710815,20.2137,/ztf/archive/sci/2018/1118/491586/ztf_20181118491586_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,686.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF18acbwasc,737556280815015042,2458467.9722917,1,713472290815,19.2461,/ztf/archive/sci/2018/1215/472268/ztf_20181215472268_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,713.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF18acbwasc,717536780815015044,2458468.0316898,2,713531680815,17.5861,/ztf/archive/sci/2018/1215/531678/ztf_20181215531678_000753_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,713.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF18acbwasc,751534320815015019,2458487.0297106,1,732529710815,20.6854,/ztf/archive/sci/2019/0103/529699/ztf_20190103529699_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,732.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF18acbwasc,751534320815015019,2458494.986088,1,740486080815,20.8802,/ztf/archive/sci/2019/0111/486076/ztf_20190111486076_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,740.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t15_f5_c3
ZTF18acbwasc,751534320815015019,2458502.9459375,1,748445930815,19.6487,/ztf/archive/sci/2019/0119/445914/ztf_20190119445914_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,748.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t15_f5_c3
ZTF18acbwasc,751534320815015019,2458505.9788079,1,751478800815,18.9957,/ztf/archive/sci/2019/0122/478808/ztf_20190122478808_000753_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,751.0,8.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t15_f5_c3
ZTF19aadnxcw,748551623615015003,2458474.9919097,2,720491903615,19.8134,/ztf/archive/sci/2018/1222/491898/ztf_20181222491898_000754_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,720.0,36.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF19aadnxcw,748551623615015003,2458480.9953009,1,726495303615,19.9033,/ztf/archive/sci/2018/1228/495220/ztf_20181228495220_000754_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,726.0,36.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF19aadnxcw,754554173615015002,2458486.990162,2,732490163615,20.863,/ztf/archive/sci/2019/0103/490127/ztf_20190103490127_000754_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,732.0,36.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF19aadnxcw,748551623615015003,2458487.030625,1,732530623615,20.7682,/ztf/archive/sci/2019/0103/530625/ztf_20190103530625_000754_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,732.0,36.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
ZTF19aadnxcw,754554173615015002,2458491.9700347,1,737470033615,20.0935,/ztf/archive/sci/2019/0108/470012/ztf_20190108470012_000754_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,737.0,36.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t12_f5_c3
