objectId,ndethist,ncovhist,mjdstarthist,mjdendhist,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,step_id_corr,nearZTF,nearPS1,stellar,corrected,ndet,ndubious,g-r_max,g-r_max_corr,g-r_mean,g-r_mean_corr
ZTF19aasfpfd,39.0,488.0,58574.41607639985,59051.353483799845,262.45363891666665,-13.248328800000001,5.504726757503679e-05,7.642551929774036e-05,58606.43840279989,59051.353483799845,444.91508099995553,corr_bulk_0.0.1,True,True,True,True,6,0,-0.038906097412109375,0.3484403610860447,0.26284217834472656,0.7405761369004331
ZTF19aavfkas,1.0,290.0,58618.460787000135,58618.460787000135,290.6342421,1.6433638,,,58618.460787000135,58618.460787000135,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abafwvu,1.0,37.0,58654.27260420006,58654.27260420006,231.9806311,-14.4974727,,,58654.27260420006,58654.27260420006,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abauylx,1.0,1086.0,58660.20342590008,58660.20342590008,254.9366982,22.6546514,,,58660.20342590008,58660.20342590008,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abbybzz,1.0,27.0,58661.43975690007,58661.43975690007,297.5191327,-16.6331833,,,58661.43975690007,58661.43975690007,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abbydxx,1.0,439.0,58661.441145800054,58661.441145800054,281.0518712,-17.9014503,,,58661.441145800054,58661.441145800054,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abcegbb,1.0,11.0,58662.438865699805,58662.438865699805,329.7874469,-27.4692867,,,58662.438865699805,58662.438865699805,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF19abcrrki,1.0,1087.0,58665.343923599925,58665.343923599925,280.2138405,52.355433,,,58665.343923599925,58665.343923599925,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abfiftp,1.0,126.0,58673.45163189992,58673.45163189992,27.9894219,26.8908488,,,58673.45163189992,58673.45163189992,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abhbbbd,1.0,131.0,58683.486874999944,58683.486874999944,22.6403123,-2.4837514,,,58683.486874999944,58683.486874999944,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF19abizkum,1.0,187.0,58691.41947920015,58691.41947920015,355.6530958,5.2849276,,,58691.41947920015,58691.41947920015,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abjoxoh,1.0,75.0,58693.42304399982,58693.42304399982,8.5267106,4.9657117,,,58693.42304399982,58693.42304399982,0.0,corr_bulk_0.0.1,True,False,False,True,1,0,,,,
ZTF19abkdkwi,1.0,54.0,58694.4072106001,58694.4072106001,343.1561731,68.1596081,,,58694.4072106001,58694.4072106001,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abkejro,6.0,1121.0,58694.42048610002,58999.44795140019,323.3851262333333,70.70325326666666,0.00022299085929374248,1.8633661297277357e-05,58694.42048610002,58999.44795140019,305.02746530016884,corr_bulk_0.0.1,True,True,True,True,3,0,-1.0803680419921875,0.20411415235510866,0.18286705017089844,0.6612785368791023
ZTF19ablggjk,72.0,1398.0,58695.47353010019,59055.447731500026,10.843265624,41.174560924,7.83700265832682e-05,4.435403288587524e-05,58696.47091440018,59055.447731500026,358.9768170998432,corr_bulk_0.0.1,True,True,True,True,25,0,,,,
ZTF19abnbdts,2.0,188.0,58435.10574069992,58699.395949100144,346.857543,1.632513,,,58699.395949100144,58699.395949100144,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF19aboqrbb,1.0,223.0,58703.45858799992,58703.45858799992,5.4307081,-4.9882047,,,58703.45858799992,58703.45858799992,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19abprlhs,1.0,578.0,58709.47539350018,58709.47539350018,357.6618954,51.4847082,,,58709.47539350018,58709.47539350018,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
