 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 533 13 2 ZTF_r 1499506165015 0 1.9541 178.489 8.11561 26.2819 3.3763e-06 0.0231206 0.0776056 7.35752e-06 976 30. 0.073207 0.056822 20.247 26.2819 1 2459254.006169 533120250 33.3209525943302 35.6194306356935 1.04060339072367 0.99065574186917 51.0138051191195 63.8088638391629 0.804862881763938 1.07140550831262 null null null null null 2458186.976065 2458255.813901 57
 30 533 13 2 ZTF_g 1499540315015 0 2.1924 95.8099 5.11021 26.3656 1.13243e-05 0.0424107 -0.0919916 2.48175e-05 976 30. 0.119456 0.0649 20.7219 26.3656 1 2459254.0403125 533120150 15.568199908731 22.9028144283392 0.756143714770376 0.983056050811054 87.1722454386871 39.7868463813771 2.20573791362969 1.08290678546849 null null null null null 2458203.992778 2458360.637616 57
 31 533 13 2 ZTF_r 1502456345015 0 2.0219 175.786 8.14516 26.26 3.5449e-06 0.0237218 0.0859842 7.71127e-06 977 30. 0.074273 0.064202 20.1789 26.26 1 2459256.9563426 533120250 2.2181569662259 32.167097810779 0.0767070351503111 0.961211896501927 83.7450686932117 57.0941078303829 1.47666895504513 1.06948255345769 null null null null null 2458186.976065 2458255.813901 57
 32 533 13 2 ZTF_g 1506507975015 33554480 2.5521 4.81139 8.84537 22.9591 0.00180951 0.0750301 0.00596066 0.00631574 69 30. 0.073963 0.082325 16.5682 22.9591 1 2459261.0079745 533120150 -4.85733891466494 46.3937037842722 -0.116464659874649 0.954761124074796 -4.00656772725362 74.5255186108685 -0.054123101275889 1.09110701239507 null null null null null 2458203.992778 2458360.637616 57
 33 533 13 2 ZTF_r 1509476415015 8 4.6775 180.653 7.51041 26.2874 9.6455e-06 0.0389321 0.0979274 2.0816e-05 961 30. 0.10144 0.093465 19.5605 26.2874 1 2459263.976412 533120250 62.1091610598186 58.9669445046186 1.17166063701526 1.01587008743309 83.5078778844071 70.3817534916429 1.19449010682235 1.26003777164815 null null null null null 2458186.976065 2458255.813901 57
 34 533 13 2 ZTF_g 1509504905015 8 4.9071 94.9919 5.75469 26.367 1.77496e-05 0.0427761 -0.0425453 5.23704e-05 749 30. 0.134911 0.093614 19.8597 26.367 1 2459264.0049074 533120150 -13.6209921674336 49.7983898264105 -0.304262369936045 1.01702833778325 -24.4296850024731 58.3481146266617 -0.421508398238567 1.33090212954897 null null null null null 2458203.992778 2458360.637616 57
 35 533 13 2 ZTF_g 1511504975015 0 2.9672 95.7437 4.99538 26.3733 1.14196e-05 0.0417529 -0.0730629 2.52293e-05 961 30. 0.124505 0.071472 20.4494 26.3733 1 2459266.0049769 533120150 56.9422071215893 31.9133533324144 1.98479957019412 0.94993708000149 99.785789210362 46.5074776058578 2.16003656644683 1.12868037687118 null null null null null 2458203.992778 2458360.637616 57
 36 533 13 2 ZTF_r 1513415555015 33554432 3.2376 173.842 10.9742 26.2677 2.88001e-05 0.0668357 0.0921611 6.09258e-05 964 30. 0.139681 0.126689 19.4605 26.2677 1 2459267.9155556 533120250 -107.733914902395 75.7106915152435 -1.58288742889644 0.924300435708734 -138.270171681505 107.195443579576 -1.29857598975096 1.13610545438212 null null null null null 2458186.976065 2458255.813901 57
 37 533 13 2 ZTF_r 1516495895015 0 2.6861 180.905 11.1892 26.3104 7.4764e-06 0.0342275 0.0798708 1.59947e-05 971 30. 0.063461 0.066264 19.6198 26.3104 1 2459270.9958912 533120250 -11.3763168897414 64.8093949254657 -0.19526235154196 1.01284747449595 -32.8963419468978 101.10249067094 -0.32756760474267 1.09330553127084 null null null null null 2458186.976065 2458255.813901 57
 38 533 13 2 ZTF_g 1516535285015 0 2.8021 95.4406 10.637 26.3752 1.15747e-05 0.0383172 -0.0247704 2.96883e-05 864 30. 0.06362 0.068472 19.7264 26.3752 1 2459271.0352894 533120150 84.2715539928984 59.2579885824541 1.58193595729643 1.05742309159859 16.5752620535079 90.8947400666421 0.183584851938186 1.09787081552116 null null null null null 2458203.992778 2458360.637616 57
 39 533 13 2 ZTF_g 1519407325015 0 3.284 77.3508 20.0585 26.1353 4.38177e-05 0.0442499 -0.00533929 0.000145999 431 30. 0.079992 0.089849 18.6456 26.1353 1 2459273.9073264 533120150 16.8050489792292 128.055011589605 0.145981561197 1.00936061683117 -26.7273497991814 178.188182290863 -0.151005300642849 1.12775675054861 null null null null null 2458203.992778 2458360.637616 57
