mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
58665.42502309987,"911425021015010030",2,911425021015,20.81011,-1,911,0.09497512,18.689558,17.187992,"",18.6411,"",0.12832086,0.018600639,0.032186303,0.0618,"",299.1788682,22.478361,0.81142855,"t17_f5_c3",0.99973655,18.6579,0.078,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58666.463402799796,"912463401015010031",1,912463401015,20.810837,-1,912,0.1772154,19.758244,18.248322,"",19.7947,"",0.10479903,0.01815144,0.02608488,0.1515,"",299.1788433,22.4783558,0.8471429,"t17_f5_c3",0.9999834,19.8073,0.1938,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58666.46385420021,"912463854815010018",1,912463854815,20.720774,-1,912,0.23331705,19.64243,18.29978,"",19.6561,"",0.15565403,0.04084178,0.04519606,0.1467,"",299.1788776,22.478304,0.8757143,"t17_f5_c3",0.99999654,19.6388,0.1829,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58667.30267360015,"913302674815010015",2,913302674815,20.663328,-1,913,0.15484175,18.81426,17.23235,"",18.9869,"",0.10659112,0.011133304,0.024828866,0.0946,"",299.1788773,22.4783808,0.88857144,"t17_f5_c3",0.999681,19.1834,0.1413,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58667.30357640004,"913303571015010033",2,913303571015,20.700735,-1,913,0.31321204,18.757227,17.171661,"",18.7346,"",0.1425375,0.02062649,0.033090457,0.0729,"",299.1788192,22.4784029,0.7828571,"t17_f5_c3",0.9872937,18.7952,0.0962,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58668.30230320012,"914302301015010040",1,914302301015,20.65612,-1,914,0.14634146,19.916182,18.21234,"",19.935,"",0.1444333,0.02399488,0.030069798,0.1889,"",299.178877,22.4783784,0.9185714,"t17_f5_c3",0.9979881,19.9123,0.2347,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58668.34011569992,"914340114815010020",2,914340114815,20.72552,-1,914,0.28825194,19.105831,17.174364,"",19.4011,"",0.11686922,100,0.019729381,0.1317,"",299.1788391,22.4783921,0.83285713,"t17_f5_c3",0.99943143,19.6485,0.2051,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58670.38226850005,"916382264815010053",2,916382264815,20.90924,-1,916,0.055272557,18.732037,17.252432,"",18.7238,"",0.13850854,0.027307983,0.03545149,0.0631,"",299.1788985,22.4783453,0.87142855,"t17_f5_c3",0.9987221,18.8376,0.0863,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58670.38271989999,"916382711015010113",2,916382711015,20.930742,-1,916,0.17532825,18.553741,17.224901,"",18.4569,"",0.10886857,0.016926477,0.032015968,0.0486,"",299.1788347,22.4783318,0.78,"t17_f5_c3",0.55156726,18.4622,0.0602,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58672.33791670017,"918337914815015005",1,918337914815,20.8577,1,918,0.080286,19.9831,17.857725,"",20.0589,"",0.275136,0.036652688,0.038850527,0.1922,"",299.1789393,22.4783469,0.762857,"t17_f5_c3","",20.228,0.2807,591120248,false,true,false,"","corr_bulk_0.0.1",0,920301354815010000
